ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
7760,2,-39.077617,177.108993,F,gr,138,138,133,133,276,278,255,287,239,265,83,89,166,178,220,230,NA,NA
7761,2,-39.072912,177.111457,M,br,126,138,133,151,264,276,283,287,219,251,NA,NA,NA,NA,228,248,NA,NA
7762,2,-39.069733,177.112588,M,br,136,140,133,139,270,276,255,255,241,261,81,91,166,196,228,248,231,235
7763,2,-39.08117,177.089036,F,bl,126,126,139,153,270,276,287,291,257,267,81,85,164,180,NA,NA,NA,NA
7765,2,-39.082372,177.089731,M,gr,126,126,133,147,276,278,255,259,241,261,NA,NA,166,180,228,228,229,231
7766,2,-39.07582,177.109315,F,gr,138,140,133,133,258,276,255,255,239,259,83,89,176,186,228,248,227,233
7767,2,-39.079998,177.088782,F,gr,126,138,133,145,266,278,255,287,257,265,81,87,166,166,230,248,223,223
7769,2,-39.080089,177.09736,F,bl,138,140,133,139,278,278,255,255,219,269,89,89,186,198,248,248,223,227
7770,2,-39.074856,177.110288,M,gr,130,136,133,145,276,284,255,259,219,271,NA,NA,NA,NA,NA,NA,NA,NA
7771,2,-39.069979,177.114535,M,gr,138,138,NA,NA,266,266,255,255,261,267,83,83,166,166,228,248,227,227
7772,2,-39.068907,177.115247,F,bl,138,140,133,155,266,278,255,255,239,255,87,89,166,176,228,228,227,231
7773,2,-39.069954,177.113724,M,gr,136,138,133,139,266,278,255,255,257,261,NA,NA,NA,NA,228,228,223,227
7774,2,-39.069255,177.114596,M,gr,126,142,133,133,270,278,255,287,259,269,85,85,170,186,228,228,223,233
7775,2,-39.068959,177.115053,F,bl,138,138,133,133,276,276,255,259,257,267,83,85,166,166,228,228,231,233
6248black,2,-39.081813,177.09605,F,bl,126,138,133,133,276,278,259,299,241,261,79,89,NA,NA,228,228,NA,NA
6248grey,2,-39.079468,177.096803,M,gr,126,130,133,139,278,278,255,287,221,261,77,91,184,186,228,248,229,231
7708B08,2,-39.082163,177.097343,M,gr,140,140,133,149,270,278,255,259,259,265,83,83,186,186,228,228,229,229
7708F06,2,-39.080353,177.08996,M,bl,138,144,133,133,258,266,255,255,257,259,NA,NA,186,186,248,248,229,235
5401,3,-39.008199,177.074359,F,bl,126,138,133,133,258,258,255,255,261,269,91,91,166,180,228,228,223,229
5404,3,-39.003235,177.079293,M,gr,136,138,133,133,264,278,255,259,219,265,87,89,166,182,232,250,223,223
